Codigo	Riacho	Categoria	Mes	Ponto	Ae_pl 	An_sp	Ap_al	Ap_ca 	Ap_af	Ap_pi	Ap_vl	As_bo	As_fa	As_la	As_pa	Br_co 	Br_ex	Br_ih	Br_tu	Ca_ca	Ca_da	Ce_go	Ce_ih	Ch_go	Ch_ze	Co_ae	Co_re	Cr_br	Cy_mo	Ei_tr	Er_er	Fa_ha	Ga_gu	Ge_br	Gy_in	Gy_pa	Gy_sy	Ho_mb	Ho_mi	Ho_sp	Hy_an	Hy_sp	Hy_sp2	Hy_ti	Im_mi	Im_sc	Le_fr	Lo_pl	Mo_au	Mo_bo	Mo_gr	Mo_sa	Ol_pa	Ol_pi	Or_ni	Ot_po	Pa_na	Ph_ha	Ph_te	Pi_ar	Pi_av	Pi_gr	Pi_st	Po_re	Pr_li	Py_au	Rh_qu	Ri_la	Se_no	St_br	St_in	St_ma	Sy_ma	Ta_ne 
TAP3D17	Tapera	Ausente	Dezembro	Foz	0	0	0	0	0	0	0	0	46	4	0	0	8	0	4	0	0	0	4	4	8	29	0	8	0	0	0	0	0	0	8	4	0	0	0	0	21	0	0	0	0	50	0	0	0	0	0	4	0	0	0	4	0	0	0	0	4	0	8	0	0	0	17	0	0	0	0	0	0	0
TAP1M18	Tapera	Ausente	Marco	Cabeceira	5	0	0	0	0	14	0	0	80	42	5	0	76	0	118	0	0	0	5	5	10	0	0	5	5	0	0	0	0	0	33	0	14	5	0	0	19	0	0	0	0	52	0	0	0	0	0	0	0	19	0	0	0	10	0	0	28	0	0	0	0	0	5	0	33	0	0	0	19	0
TAP2M18	Tapera	Ausente	Marco	Meio	0	0	5	0	0	21	0	0	248	41	5	0	129	10	88	0	5	0	52	10	36	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	269	0	0	0	0	5	10	0	0	0	0	5	52	10	0	36	0	0	0	0	5	0	0	5	0	0	0	5	5
TAP3M18	Tapera	Ausente	Marco	Foz	0	0	0	0	0	0	0	0	48	22	0	0	56	4	39	0	0	0	4	17	9	4	0	13	0	0	0	9	0	0	13	0	0	0	0	0	4	0	0	0	0	96	0	0	17	0	0	0	0	13	0	4	0	4	0	0	0	0	0	0	0	0	30	0	4	0	0	0	4	0
TAP1J18	Tapera	Ausente	Junho	Cabeceira	4	0	0	0	0	0	0	0	129	36	4	0	105	12	105	4	4	0	12	0	20	0	0	12	0	0	0	0	0	0	20	0	12	0	0	0	32	0	0	0	0	77	0	0	0	0	0	0	12	0	0	0	28	4	12	0	16	0	0	0	0	0	8	0	0	0	0	0	4	0
TAP2J18	Tapera	Ausente	Junho	Meio	0	0	0	5	0	10	0	0	98	39	0	0	137	10	171	5	10	0	83	19	15	0	0	5	0	0	0	0	0	0	0	0	10	0	0	0	54	0	0	0	0	225	0	0	19	0	0	0	0	5	0	0	10	15	5	0	15	0	0	0	0	0	5	0	0	0	0	0	0	0
TAP3J18	Tapera	Ausente	Junho	Foz	5	0	0	0	0	0	0	0	30	20	5	0	30	0	56	0	0	0	5	5	0	10	0	15	0	0	5	0	0	0	15	10	5	0	0	0	0	0	0	0	0	76	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
TAP1S18	Tapera	Ausente	Setembro	Cabeceira	5	0	0	0	0	0	0	0	161	109	0	0	137	0	104	0	0	0	19	0	14	0	0	10	0	0	0	0	5	0	14	0	5	0	5	0	14	0	0	0	0	57	0	0	0	0	0	0	24	0	0	0	14	0	0	0	33	0	0	0	0	0	14	0	5	5	0	0	0	0
TAP2S18	Tapera	Ausente	Setembro	Meio	0	0	0	0	0	12	0	0	60	18	0	0	96	48	48	6	6	0	257	18	42	6	0	6	0	0	0	0	0	0	12	6	6	0	0	0	78	0	0	0	0	533	0	0	0	0	0	0	0	0	0	0	18	24	6	0	0	0	0	0	0	0	12	0	6	0	0	0	0	6
TAP3S18	Tapera	Ausente	Setembro	Foz	6	0	0	0	0	0	0	6	34	34	0	0	29	6	126	0	0	0	11	11	11	6	0	29	0	0	0	17	0	0	46	11	11	0	6	0	0	0	0	0	0	212	0	0	23	6	0	11	0	6	0	0	6	0	0	0	0	0	0	0	0	0	46	0	11	0	0	0	0	0
TAT1D17	Tatu	Intensa	Dezembro	Cabeceira	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	71	0	0	24	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3309	0	0	0	0	0	0	0	0	0	0
TAT2D17	Tatu	Intensa	Dezembro	Meio	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	7	0	0	7	0	0	48	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	27	0	0	0	0	0	0	0
TAT3D17	Tatu	Intensa	Dezembro	Foz	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	41	0	21	0	0	0	0	0	0	41	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
TAT1M18	Tatu	Intensa	Marco	Cabeceira	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5056	0	0	0	0	0	0	0	0	0	0
TAT2M18	Tatu	Intensa	Marco	Meio	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	5	0	0	14	9	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
TAT3M18	Tatu	Intensa	Marco	Foz	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6	0	18	0	0	0	0	0	0	18	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAT1J18	Tatu	Intensa	Junho	Cabeceira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2604	0	0	0	0	0	0	0	0	0	0
TAT2J18	Tatu	Intensa	Junho	Meio	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	25	0	0	5	5	0	10	0	5	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	0	0	0	0	429	0	0	35	0	0	0	0	0	0	0
TAT3J18	Tatu	Intensa	Junho	Foz	13	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	46	0	13	0	0	6	0	0	0	52	59	0	0	13	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	13	0
TAT1S18	Tatu	Intensa	Setembro	Cabeceira	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	850	0	0	0	0	0	0	0	0	0	0
TAT2S18	Tatu	Intensa	Setembro	Meio	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	5	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	35	0	0	0	0	0	0	0
TAT3S18	Tatu	Intensa	Setembro	Foz	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	20	0	13	0	0	0	0	0	0	13	13	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0
TRM1D17	Taquari	Ausente	Dezembro	Cabeceira	13	0	0	0	0	0	0	0	77	245	0	0	0	0	258	0	13	0	0	0	0	529	0	13	0	0	0	0	0	0	64	52	64	26	0	0	64	0	0	0	0	26	0	0	0	0	0	0	0	13	0	0	0	0	0	0	26	0	0	0	0	0	258	0	39	0	0	0	64	0
TRM2D17	Taquari	Ausente	Dezembro	Meio	6	0	0	17	6	17	0	0	112	140	22	0	90	0	11	0	0	0	28	0	6	0	0	0	0	0	0	0	0	0	22	28	28	0	0	0	17	0	0	0	0	106	6	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	50	0	0	0	0	6	6	0
TRM3D17	Taquari	Ausente	Dezembro	Foz	0	0	0	0	12	6	0	0	0	18	0	0	1378	0	190	0	0	0	0	0	12	37	0	12	0	0	0	18	0	0	12	12	6	0	0	0	31	0	0	0	0	367	0	0	0	116	0	6	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	67	0	0	6	0	0
TRM1M18	Taquari	Ausente	Marco	Cabeceira	38	0	0	0	0	0	0	0	0	50	0	0	0	0	214	0	13	0	0	0	0	0	0	25	0	0	13	0	0	0	88	13	38	13	13	0	101	0	0	0	0	0	0	0	0	13	0	0	0	25	0	0	0	0	0	0	13	0	0	0	0	0	151	0	113	0	0	0	139	0
TRM2M18	Taquari	Ausente	Marco	Meio	0	0	0	33	0	150	0	0	100	55	0	0	83	0	5	0	0	0	28	0	5	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	28	0	0	0	0	111	0	0	0	0	0	5	0	0	0	0	0	0	5	0	50	0	0	0	5	0	5	0	0	0	5	0	17	0
TRM3M18	Taquari	Ausente	Marco	Foz	0	0	0	19	0	82	0	0	13	56	6	0	986	0	88	0	0	0	31	0	270	19	0	6	0	0	0	31	0	0	63	6	6	0	0	0	75	0	0	0	0	289	0	0	0	6	0	6	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	6	0	13	0	0	0
TRM1J18	Taquari	Ausente	Junho	Cabeceira	10	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	60	0	30	0	30	0	0	0	0	190	10	40	0	10	0	60	0	0	0	0	30	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	20	0
TRM2J18	Taquari	Ausente	Junho	Meio	0	0	0	9	0	64	5	0	147	101	5	0	55	0	41	0	0	0	37	0	5	0	0	0	5	0	0	0	0	0	14	9	27	0	0	0	5	0	0	0	0	115	0	0	0	0	0	5	0	0	0	0	0	0	0	0	46	0	0	0	5	0	27	0	0	0	9	18	5	0
TRM3J18	Taquari	Ausente	Junho	Foz	0	0	0	6	0	39	0	0	0	32	6	0	45	0	90	0	0	6	19	0	244	6	0	13	0	0	0	13	0	0	32	0	0	0	0	0	45	0	0	0	0	399	0	0	0	0	0	0	0	0	0	0	0	0	6	0	19	0	0	0	0	0	13	0	0	0	26	0	0	0
TRM1S18	Taquari	Ausente	Setembro	Cabeceira	13	0	0	0	0	0	0	0	13	13	0	0	0	0	627	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	38	13	13	0	0	0	13	0	0	0	0	26	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	64	0	358	0	0	0	89	0
TRM2S18	Taquari	Ausente	Setembro	Meio	0	0	0	0	0	65	0	0	124	459	16	0	22	0	43	5	0	0	32	0	5	0	0	0	0	0	0	0	0	0	11	5	0	0	0	0	16	0	0	0	0	119	11	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	16	0	0	0	22	0	0	0	5	0	11	0
TRM3S18	Taquari	Ausente	Setembro	Foz	0	0	0	4	0	0	0	0	0	22	0	0	27	0	81	9	0	0	0	0	103	9	0	0	0	0	4	9	0	0	22	0	0	0	0	0	9	0	0	0	0	103	4	0	0	0	0	0	0	0	0	0	90	0	0	0	22	0	0	0	0	0	9	0	4	0	0	0	0	0
